WA Num,Well Name,Operator,Abandoned Status Date,Casing Cutoff Flag,COR Flag
12412,CNRL ET AL  RING B- 044-I/094-H-09,Canadian Natural Resources Limited,22-FEB-2011,Y,Y
10131,CNRL   RING B- 083-H/094-H-16,Canadian Natural Resources Limited,21-FEB-2011,Y,Y
10437,CNRL   ETTHITHUN A- 081-J/094-H-15,Canadian Natural Resources Limited,21-FEB-2011,Y,Y
10923,CNRL ET AL  CHINCHAGA C- 055-B/094-H-09,Canadian Natural Resources Limited,20-FEB-2011,Y,Y
19164,CNRL   SHEKILIE C-A082-A/094-I-16,Canadian Natural Resources Limited,20-FEB-2011,Y,N
10500,CNRL ET AL  CHINCHAGA D- 039-B/094-H-09,Canadian Natural Resources Limited,20-FEB-2011,Y,N
20154,CNRL   SHEKILIE D- 093-A/094-I-16,Canadian Natural Resources Limited,20-FEB-2011,Y,N
26867,CHEVRON WOODSIDE  GOTE B- 086-A/094-O-09,Chevron Canada Limited,19-FEB-2011,Y,Y
19160,CNRL   SHEKILIE D-A033-H/094-I-16,Canadian Natural Resources Limited,19-FEB-2011,Y,N
07223,CNRL ET AL  RING A- 081-E/094-H-16,Canadian Natural Resources Limited,19-FEB-2011,Y,Y
20121,CNRL   SHEKILIE C- 034-H/094-I-16,Canadian Natural Resources Limited,19-FEB-2011,Y,Y
20071,CNRL   SHEKILIE A- 063-G/094-I-16,Canadian Natural Resources Limited,18-FEB-2011,Y,N
13095,CNRL   RING D- 095-L/094-H-09,Canadian Natural Resources Limited,18-FEB-2011,Y,Y
22465,CNRL   DAHL B- 026-L/094-H-09,Canadian Natural Resources Limited,17-FEB-2011,Y,Y
05306,CNRL ET AL  HELMET A- 087-L/094-P-01,Canadian Natural Resources Limited,17-FEB-2011,Y,N
12939,CNRL   DAHL A- 016-L/094-H-09,Canadian Natural Resources Limited,17-FEB-2011,Y,Y
09299,CNRL  HZ HELMET A- 057-B/094-P-15,Canadian Natural Resources Limited,16-FEB-2011,Y,N
13485,CNRL ET AL HZ HELMET A- 094-H/094-P-11,Canadian Natural Resources Limited,15-FEB-2011,Y,Y
16511,CNRL  HZ HELMET C- 062-A/094-P-07,Canadian Natural Resources Limited,15-FEB-2011,Y,Y
