,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
254,478,4100,1990-08-13,2200.0,1959-09-29,False,True,False,False,False,False,False,False,11276,1959
263,501,4535,1986-05-08,2000.0,1959-10-16,False,False,False,False,False,True,False,False,9701,1959
279,532,8400,1989-03-15,5420.0,1960-03-03,False,True,False,False,False,False,False,False,10604,1960
281,549,7400,1992-12-14,1400.0,1960-03-02,False,False,False,False,False,True,False,False,11975,1960
285,562,8400,2013-02-26,5400.0,1995-03-05,False,False,True,False,False,False,False,False,6568,1995
297,594,8400,1988-02-18,9000.0,1960-05-15,False,True,False,False,False,False,False,False,10140,1960
298,601,4560,1995-01-23,1400.0,1960-08-15,False,True,False,False,False,False,False,False,12579,1960
299,601,4800,1995-01-23,800.0,1960-08-15,False,True,False,False,False,False,False,False,12579,1960
300,601,7400,1995-01-23,1400.0,1960-08-15,False,True,False,False,False,False,False,False,12579,1960
316,671,7500,2008-03-22,9000.0,1985-03-22,False,False,False,False,False,True,False,False,8401,1985
317,673,8200,2008-02-27,9000.0,1999-02-04,False,True,False,False,False,False,False,False,3310,1999
321,682,7100,2023-02-02,740.0,2005-12-08,False,True,False,False,False,False,False,False,6265,2005
342,741,4100,1989-03-20,800.0,1961-05-22,False,False,True,False,False,False,False,False,10164,1961
343,741,4800,1989-03-20,800.0,1961-05-22,False,False,True,False,False,False,False,False,10164,1961
354,756,2900,1982-12-14,2400.0,1961-09-17,False,True,False,False,False,False,False,False,7758,1961
364,799,4536,1994-12-15,2000.0,1961-10-10,False,False,True,False,False,False,False,False,12119,1961
365,799,4500,1994-12-15,2000.0,1961-10-10,False,False,True,False,False,False,False,False,12119,1961
366,799,2900,1994-12-15,2000.0,1961-10-10,False,False,True,False,False,False,False,False,12119,1961
367,799,4100,1994-12-15,2000.0,1961-10-10,False,False,True,False,False,False,False,False,12119,1961
368,801,4800,1995-09-26,6200.0,1961-10-26,False,True,False,False,False,False,False,False,12388,1961
379,831,4535,1965-01-07,9000.0,1961-11-18,False,False,False,False,False,True,False,False,1146,1961
380,834,4100,1972-02-14,1260.0,1961-12-20,False,True,False,False,False,False,False,False,3708,1961
381,836,4800,1985-06-25,2000.0,1961-11-25,False,True,False,False,False,False,False,False,8613,1961
391,852,4100,1973-02-08,6400.0,1961-12-18,False,True,False,False,False,False,False,False,4070,1961
398,877,8400,1988-02-20,3420.0,1962-01-30,False,True,False,False,False,False,False,False,9517,1962
400,883,4535,1977-05-13,2000.0,1961-12-22,False,False,False,False,False,True,False,False,5621,1961
401,886,4800,1993-02-15,9000.0,1962-03-03,False,False,False,False,False,False,True,False,11307,1962
402,886,4800,1993-02-15,9000.0,1980-03-22,False,False,False,False,False,False,True,False,4713,1980
416,915,4800,1995-03-02,6800.0,1962-02-01,False,False,False,False,False,True,False,False,12082,1962
423,933,4100,1977-12-20,4900.0,1962-05-30,False,False,False,False,False,True,False,False,5683,1962
426,943,7400,1973-11-23,1400.0,1962-04-15,False,False,False,False,False,True,False,False,4240,1962
427,943,4910,1973-11-23,1400.0,1962-04-15,False,False,False,False,False,True,False,False,4240,1962
434,963,4800,1996-11-08,8400.0,1963-11-12,False,False,False,False,False,True,False,False,12050,1963
441,985,4800,1996-11-01,6000.0,1962-02-14,False,False,False,False,False,False,True,False,12679,1962
442,985,2700,1996-11-01,6000.0,1962-02-14,False,False,False,False,False,False,True,False,12679,1962
443,985,4090,1996-11-01,6000.0,1962-02-14,False,False,False,False,False,False,True,False,12679,1962
461,1048,2900,1967-08-09,2400.0,1962-04-01,False,True,False,False,False,False,False,False,1956,1962
462,1055,4800,1996-12-15,2240.0,1962-06-06,False,True,False,False,False,False,False,False,12611,1962
466,1071,8400,1997-01-14,3200.0,1962-05-09,False,True,False,False,False,False,False,False,12669,1962
467,1081,4100,1973-10-22,5020.0,1962-08-27,False,False,True,False,False,False,False,False,4074,1962
468,1081,4800,1973-10-22,5020.0,1962-08-27,False,False,True,False,False,False,False,False,4074,1962
490,1139,4100,1992-12-09,6400.0,1962-09-23,False,True,False,False,False,False,False,False,11035,1962
492,1143,4535,1990-12-14,2000.0,1962-08-11,False,False,False,False,False,True,False,False,10352,1962
506,1179,2900,1987-10-30,2400.0,1962-11-01,False,True,False,False,False,False,False,False,9129,1962
510,1189,4535,1977-05-13,2000.0,1962-11-09,False,False,False,False,False,True,False,False,5299,1962
519,1213,2900,1996-01-07,2400.0,1962-12-26,False,True,False,False,False,False,False,False,12065,1962
520,1213,4100,1996-01-07,2400.0,1962-12-26,False,True,False,False,False,False,False,False,12065,1962
522,1218,4535,1979-04-04,2000.0,1962-12-09,False,False,False,False,False,False,False,True,5960,1962
524,1222,2900,1986-07-25,7600.0,1963-01-04,False,False,False,False,False,False,True,False,8603,1963
525,1222,2600,1986-07-25,2400.0,1963-01-04,False,False,False,False,False,False,True,False,8603,1963
526,1222,4100,1986-07-25,7600.0,1963-01-04,False,False,False,False,False,False,True,False,8603,1963
532,1228,4535,1973-12-19,2000.0,1963-01-01,False,False,False,False,False,True,False,False,4005,1963
533,1233,4800,1992-08-13,800.0,1963-02-14,False,True,False,False,False,False,False,False,10773,1963
539,1256,4800,1990-08-13,5000.0,1963-01-27,False,True,False,False,False,False,False,False,10060,1963
545,1274,8400,1997-02-09,3200.0,1963-04-11,False,True,False,False,False,False,False,False,12358,1963
548,1276,4800,1972-10-18,5020.0,1963-03-01,False,True,False,False,False,False,False,False,3519,1963
550,1289,4805,1993-03-24,8400.0,1963-02-24,False,False,False,False,False,True,False,False,10986,1963
553,1299,4100,1993-12-16,9000.0,1963-03-15,False,False,False,False,False,False,False,True,11234,1963
554,1299,4100,1993-12-16,9000.0,1978-10-18,False,False,False,False,False,False,False,True,5538,1978
568,1324,2900,1997-04-01,7600.0,1963-04-04,False,True,False,False,False,False,False,False,12416,1963
573,1332,4100,1993-03-07,2800.0,1963-07-25,False,False,False,False,False,False,True,False,10818,1963
574,1332,4800,1993-03-07,2800.0,1963-07-25,False,False,False,False,False,False,True,False,10818,1963
575,1332,4500,1993-03-07,2800.0,1963-07-25,False,False,False,False,False,False,True,False,10818,1963
578,1337,4530,2010-09-27,5600.0,2004-08-03,False,True,False,False,False,False,False,False,2246,2004
581,1344,2900,1973-08-09,2400.0,1963-06-18,False,True,False,False,False,False,False,False,3705,1963
582,1345,2900,1973-08-09,2400.0,1963-06-25,False,False,False,False,False,True,False,False,3698,1963
584,1348,2900,1970-01-28,2400.0,1963-06-18,False,True,False,False,False,False,False,False,2416,1963
590,1359,4100,1992-08-12,800.0,1963-08-31,False,False,True,False,False,False,False,False,10574,1963
591,1359,4800,1992-08-12,800.0,1963-08-31,False,False,True,False,False,False,False,False,10574,1963
592,1359,2700,1992-08-12,800.0,1963-08-31,False,False,True,False,False,False,False,False,10574,1963
593,1359,2600,1992-08-12,800.0,1963-08-31,False,False,True,False,False,False,False,False,10574,1963
602,1372,2900,1984-03-10,7600.0,1963-10-29,False,True,False,False,False,False,False,False,7438,1963
603,1373,4100,1990-11-17,6400.0,1963-10-20,False,True,False,False,False,False,False,False,9890,1963
607,1385,2900,1992-11-18,7600.0,1963-11-13,False,True,False,False,False,False,False,False,10598,1963
615,1395,4800,1993-03-04,2020.0,1963-12-15,False,True,False,False,False,False,False,False,10672,1963
616,1398,2600,1996-11-01,600.0,1963-12-17,False,False,False,False,False,True,False,False,12008,1963
620,1405,8600,2003-10-10,8800.0,1998-09-22,False,False,False,False,False,False,True,False,1844,1998
626,1431,8600,2013-10-01,8800.0,1996-10-15,False,False,True,False,False,False,False,False,6195,1996
627,1431,8600,2013-10-01,8800.0,1996-10-15,False,False,True,False,False,False,False,False,6195,1996
634,1452,4800,1995-03-02,6800.0,1965-02-22,False,False,False,False,False,True,False,False,10965,1965
646,1482,4535,1997-01-20,2000.0,1964-08-09,False,False,False,False,False,True,False,False,11852,1964
647,1484,4100,1991-10-03,6400.0,1964-08-02,False,False,True,False,False,False,False,False,9923,1964
648,1484,2600,1991-10-03,6400.0,1979-03-12,False,False,True,False,False,False,False,False,4588,1979
652,1492,2900,1968-07-09,2400.0,1964-10-23,False,True,False,False,False,False,False,False,1355,1964
671,1537,2900,1998-06-24,7600.0,1964-11-21,False,True,False,False,False,False,False,False,12268,1964
672,1537,2600,1998-06-24,2400.0,1964-11-21,False,True,False,False,False,False,False,False,12268,1964
682,1554,8400,1991-03-16,3200.0,1965-02-20,False,True,False,False,False,False,False,False,9520,1965
