,WA,Form,Abandoned Status Date,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time
77,133,2890,2010-03-02,1984-10-25,False,False,False,False,False,False,True,False,9259
78,135,6200,2020-09-09,1955-07-05,False,True,False,False,False,False,False,False,23808
79,138,7400,1994-02-26,1955-08-10,False,False,True,False,False,False,False,False,14080
80,138,7500,1994-02-26,1955-08-10,False,False,True,False,False,False,False,False,14080
81,145,4100,2011-01-04,1956-02-25,False,False,True,False,False,False,False,False,20037
82,145,2900,2011-01-04,1956-02-25,False,False,True,False,False,False,False,False,20037
83,154,6200,1975-09-26,1956-09-29,False,False,True,False,False,False,False,False,6936
84,154,6200,1975-09-26,1966-03-27,False,False,True,False,False,False,False,False,3470
85,157,8400,2005-09-19,1956-05-11,False,True,False,False,False,False,False,False,18028
86,159,4800,2011-03-25,1956-03-16,False,True,False,False,False,False,False,False,20097
87,160,4800,2021-01-26,1956-12-23,False,True,False,False,False,False,False,False,23410
88,160,2700,2021-01-26,1956-12-23,False,True,False,False,False,False,False,False,23410
89,164,7400,2023-10-16,1957-05-05,False,True,False,False,False,False,False,False,24270
90,164,7000,2023-10-16,1957-05-05,False,True,False,False,False,False,False,False,24270
91,164,2700,2023-10-16,1957-05-05,False,True,False,False,False,False,False,False,24270
92,164,2850,2023-10-16,1957-05-05,False,True,False,False,False,False,False,False,24270
93,164,4000,2023-10-16,1957-05-05,False,True,False,False,False,False,False,False,24270
94,166,6200,2020-10-19,1956-07-02,False,True,False,False,False,False,False,False,23485
95,166,4100,2020-10-19,1956-07-02,False,True,False,False,False,False,False,False,23485
96,170,4100,2022-11-04,1956-09-03,False,True,False,False,False,False,False,False,24168
97,170,4000,2022-11-04,1956-09-03,False,True,False,False,False,False,False,False,24168
98,170,4800,2022-11-04,1956-09-03,False,True,False,False,False,False,False,False,24168
99,171,6200,1995-10-19,1956-08-03,False,False,False,False,False,True,False,False,14321
100,172,4800,2021-10-04,1956-07-26,False,True,False,False,False,False,False,False,23811
101,172,4100,2021-10-04,1956-07-26,False,True,False,False,False,False,False,False,23811
102,173,6200,2020-10-18,1956-07-27,False,True,False,False,False,False,False,False,23459
103,174,4800,1991-01-08,1956-08-26,False,True,False,False,False,False,False,False,12553
104,174,4510,1991-01-08,1956-08-26,False,True,False,False,False,False,False,False,12553
105,176,4800,2004-03-22,1961-08-28,False,True,False,False,False,False,False,False,15547
106,180,4100,2023-03-21,1957-06-19,False,True,False,False,False,False,False,False,24016
107,180,4800,2023-03-21,1994-07-07,False,True,False,False,False,False,False,False,10484
108,181,4800,2012-07-03,1956-10-23,False,False,False,False,False,False,False,True,20342
109,183,4535,2021-08-06,1956-07-23,False,False,False,False,False,True,False,False,23755
110,185,2900,1967-06-15,1956-09-12,False,True,False,False,False,False,False,False,3928
111,190,2900,1981-06-29,1956-09-07,False,True,False,False,False,False,False,False,9061
112,191,4800,2020-08-30,1956-09-14,False,True,False,False,False,False,False,False,23361
113,192,4800,1990-11-26,1956-10-21,False,True,False,False,False,False,False,False,12454
114,193,4100,2020-10-15,1956-08-28,False,True,False,False,False,False,False,False,23424
115,195,2900,1986-07-24,1956-10-01,False,True,False,False,False,False,False,False,10888
116,195,4100,1986-07-24,1956-10-01,False,True,False,False,False,False,False,False,10888
117,196,4100,1962-11-22,1956-09-29,False,True,False,False,False,False,False,False,2245
118,197,6200,2020-08-30,1956-10-27,False,True,False,False,False,False,False,False,23318
119,197,4800,2020-08-30,1956-10-27,False,True,False,False,False,False,False,False,23318
120,198,4800,1978-01-19,1956-10-23,False,False,True,False,False,False,False,False,7758
121,198,4500,1978-01-19,1977-09-06,False,False,True,False,False,False,False,False,135
122,201,6200,2020-12-14,1956-11-23,False,True,False,False,False,False,False,False,23397
123,201,4900,2020-12-14,1956-11-23,False,True,False,False,False,False,False,False,23397
124,201,4800,2020-12-14,1956-11-23,False,True,False,False,False,False,False,False,23397
125,202,4800,1991-03-13,1956-11-09,False,True,False,False,False,False,False,False,12542
126,204,4100,1996-09-02,1956-11-14,False,True,False,False,False,False,False,False,14537
127,210,4800,2020-12-04,1957-02-02,False,True,False,False,False,False,False,False,23316
128,210,4100,2020-12-04,1999-08-28,False,True,False,False,False,False,False,False,7769
129,211,8400,1991-02-17,1957-01-28,False,True,False,False,False,False,False,False,12438
130,212,4100,2022-11-02,1956-11-22,False,True,False,False,False,False,False,False,24086
131,213,4100,2020-10-18,1956-12-20,False,True,False,False,False,False,False,False,23313
132,214,4580,2020-09-27,1956-12-12,False,False,False,False,False,True,False,False,23300
133,214,4100,2020-09-27,1956-12-12,False,False,False,False,False,True,False,False,23300
134,216,4580,2020-10-16,1956-12-15,False,False,False,False,False,True,False,False,23316
135,219,6200,1998-06-22,1957-02-08,False,True,False,False,False,False,False,False,15109
136,219,4100,1998-06-22,1957-02-08,False,True,False,False,False,False,False,False,15109
137,220,2900,1991-02-06,1957-01-17,False,True,False,False,False,False,False,False,12438
138,225,4580,2020-10-15,1957-01-18,False,False,False,False,False,True,False,False,23281
139,225,2600,2020-10-15,1957-01-18,False,False,False,False,False,True,False,False,23281
140,229,7400,1992-06-05,1957-06-10,False,False,True,False,False,False,False,False,12779
141,229,4100,1992-06-05,1957-06-10,False,False,True,False,False,False,False,False,12779
142,233,4100,2020-12-03,1957-03-08,False,True,False,False,False,False,False,False,23281
143,233,4100,2020-12-03,1997-09-04,False,True,False,False,False,False,False,False,8491
144,233,2800,2020-12-03,1997-09-04,False,True,False,False,False,False,False,False,8491
145,238,4000,2022-07-11,1958-05-30,False,True,False,False,False,False,False,False,23418
146,238,7400,2022-07-11,1977-01-27,False,True,False,False,False,False,False,False,16601
147,238,4100,2022-07-11,1977-01-27,False,True,False,False,False,False,False,False,16601
148,238,4100,2022-07-11,1999-03-28,False,True,False,False,False,False,False,False,8506
149,240,2900,2020-03-17,1957-03-09,False,True,False,False,False,False,False,False,23019
150,241,4100,1991-10-11,1957-06-16,False,False,False,False,False,False,False,True,12535
151,242,7400,2023-09-07,1957-06-21,False,False,False,False,False,True,False,False,24184
152,242,4100,2023-09-07,1957-06-21,False,False,False,False,False,True,False,False,24184
153,243,4100,2017-09-28,1957-05-29,False,True,False,False,False,False,False,False,22037
154,243,4100,2017-09-28,2004-04-22,False,True,False,False,False,False,False,False,4907
155,248,4800,2023-03-23,1957-03-21,False,False,False,True,False,False,False,False,24108
156,248,2600,2023-03-23,1957-03-21,False,False,False,True,False,False,False,False,24108
157,249,4100,1996-07-14,1957-04-01,False,True,False,False,False,False,False,False,14349
158,250,4535,1999-10-22,1957-04-17,False,False,False,False,False,True,False,False,15528
159,253,4560,1997-10-15,1957-06-17,False,True,False,False,False,False,False,False,14730
160,253,4100,1997-10-15,1957-06-17,False,True,False,False,False,False,False,False,14730
161,258,4800,1976-03-25,1957-05-21,False,True,False,False,False,False,False,False,6883
162,261,2900,1996-07-14,1957-06-02,False,False,False,False,False,False,True,False,14287
163,264,2900,2022-07-29,1957-06-20,False,True,False,False,False,False,False,False,23780
164,269,2700,1990-03-05,1957-09-26,False,False,False,True,False,False,False,False,11848
165,269,4530,1990-03-05,1977-03-02,False,False,False,True,False,False,False,False,4751
166,270,4800,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
167,270,4535,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
168,270,2800,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
169,270,2600,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
170,270,4100,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
171,270,2900,2023-03-05,1957-08-01,False,True,False,False,False,False,False,False,23957
172,271,2900,1989-12-14,1957-07-24,False,False,False,False,False,True,False,False,11831
173,274,4100,1991-03-15,1957-11-14,False,False,True,False,False,False,False,False,12174
174,280,2900,1989-12-14,1957-08-27,False,False,False,False,False,True,False,False,11797
175,287,4100,1971-10-21,1957-10-21,False,True,False,False,False,False,False,False,5113
176,289,4800,2006-08-31,1957-10-01,False,True,False,False,False,False,False,False,17866
177,289,4580,2006-08-31,1957-10-01,False,True,False,False,False,False,False,False,17866
178,290,4800,1964-06-18,1957-12-29,False,True,False,False,False,False,False,False,2363
179,290,4100,1964-06-18,1957-12-29,False,True,False,False,False,False,False,False,2363
180,291,4100,1997-04-17,1957-11-08,False,False,False,False,False,False,False,True,14405
181,293,2200,1966-05-24,1957-10-25,False,True,False,False,False,False,False,False,3133
182,294,4100,2019-09-14,1957-11-13,False,False,False,False,False,False,False,True,22585
183,295,2900,2022-09-22,1957-10-19,False,True,False,False,False,False,False,False,23714
184,302,2200,2005-07-09,1957-12-05,False,True,False,False,False,False,False,False,17383
185,303,2200,1966-05-24,1957-12-08,False,True,False,False,False,False,False,False,3089
186,304,4800,2005-12-17,1958-09-17,False,True,False,False,False,False,False,False,17258
187,304,4100,2005-12-17,1958-09-17,False,True,False,False,False,False,False,False,17258
188,304,7400,2005-12-17,1958-09-17,False,True,False,False,False,False,False,False,17258
189,309,4800,2023-03-17,1958-02-28,False,False,False,False,False,True,False,False,23758
190,309,4800,2023-03-17,1958-02-28,False,False,False,False,False,True,False,False,23758
191,319,2200,1966-05-24,1958-01-01,False,True,False,False,False,False,False,False,3065
192,320,4800,1990-12-15,1958-01-17,False,True,False,False,False,False,False,False,12020
193,320,4100,1990-12-15,1958-01-17,False,True,False,False,False,False,False,False,12020
194,325,7100,2023-02-17,1960-05-14,False,False,False,False,False,False,False,True,22924
195,325,7100,2023-02-17,1989-07-07,False,False,False,False,False,False,False,True,12278
196,331,7400,2010-02-01,1958-05-26,False,False,True,False,False,False,False,False,18879
197,331,4100,2010-02-01,1958-05-26,False,False,True,False,False,False,False,False,18879
198,341,4800,2023-03-21,1958-02-21,False,False,False,False,False,True,False,False,23769
199,344,8400,1990-12-07,1958-03-27,False,True,False,False,False,False,False,False,11943
200,348,7400,1993-02-16,1958-04-21,False,True,False,False,False,False,False,False,12720
201,351,4100,2010-09-19,1958-03-22,False,False,False,False,False,False,True,False,19174
202,351,2800,2010-09-19,1958-03-22,False,False,False,False,False,False,True,False,19174
203,351,2600,2010-09-19,1958-03-22,False,False,False,False,False,False,True,False,19174
204,357,2900,2012-09-02,1958-05-07,False,True,False,False,False,False,False,False,19842
205,357,4100,2012-09-02,1958-05-07,False,True,False,False,False,False,False,False,19842
